Ticker,Price,Status,RSI,Patterns,Trend
AAPL,248.04,OVERSOLD,12.1,None,UPTREND
HPE,21.05,OVERSOLD,22.8,None,UPTREND
HIG,128.62,OVERSOLD,23.9,None,UPTREND
MRVL,80.23,OVERSOLD,24.5,None,UPTREND
JCI,113.59,OVERSOLD,25.9,None,UPTREND
WFC,86.96,OVERSOLD,26.8,None,UPTREND
FSLR,242.15,OVERSOLD,27.7,None,UPTREND
BAC,51.72,OVERSOLD,28.1,None,UPTREND
LVS,59.95,OVERSOLD,28.7,None,UPTREND
INSM,156.21,OVERSOLD,29.4,None,UPTREND
JPM,297.72,OVERSOLD,29.9,None,UPTREND
L,101.86,OVERSOLD,30.8,None,UPTREND
WYNN,113.55,OVERSOLD,31.2,None,UPTREND
COF,217.3,OVERSOLD,31.7,None,UPTREND
SHOP,137.89,OVERSOLD,31.9,None,UPTREND
ISRG,523.99,OVERSOLD,32.1,None,UPTREND
APP,524.41,OVERSOLD,32.2,None,UPTREND
APO,136.31,OVERSOLD,33.0,None,UPTREND
CCL,28.55,OVERSOLD,33.2,None,UPTREND
SYF,76.61,PATTERN_TRIGGER,34.1,HAMMER,UPTREND
UHS,205.09,OVERSOLD,34.6,None,UPTREND
GE,293.87,WAIT,35.2,None,UPTREND
AVGO,320.05,WAIT,35.7,None,UPTREND
PRU,107.69,WAIT,36.0,None,UPTREND
AFL,107.09,WAIT,36.5,None,UPTREND
ATO,165.34,WAIT,36.9,None,UPTREND
CB,300.91,WAIT,37.1,None,UPTREND
TEL,223.84,WAIT,37.6,None,UPTREND
SRE,85.94,WAIT,38.8,None,UPTREND
HOOD,106.99,WAIT,38.8,None,UPTREND
CINF,157.03,WAIT,39.1,None,UPTREND
TRV,277.72,WAIT,39.6,None,UPTREND
ABBV,219.26,WAIT,41.5,None,UPTREND
CSCO,74.59,WAIT,41.8,None,UPTREND
UAL,107.74,WAIT,42.1,None,UPTREND
C,113.59,WAIT,42.2,None,UPTREND
TTWO,245.73,WAIT,42.2,None,UPTREND
AES,14.25,WAIT,42.4,None,UPTREND
WELL,183.68,WAIT,42.4,None,UPTREND
REGN,753.55,WAIT,43.1,None,UPTREND
GEHC,79.77,WAIT,43.4,None,UPTREND
EXPE,271.14,WAIT,43.6,None,UPTREND
AXP,361.69,PATTERN_TRIGGER,43.8,HAMMER,UPTREND
GEV,657.78,WAIT,44.1,None,UPTREND
BIIB,171.59,WAIT,44.1,None,UPTREND
CPT,107.86,PATTERN_TRIGGER,44.3,ENGULFING,UPTREND
CRH,122.84,WAIT,44.8,None,UPTREND
STT,126.09,WAIT,44.8,None,UPTREND
PLD,127.15,WAIT,44.8,None,UPTREND
WTW,322.81,WAIT,45.5,None,UPTREND
GL,136.5,WAIT,45.5,None,UPTREND
OMC,79.79,WAIT,45.6,None,UPTREND
A,135.05,WAIT,46.3,None,UPTREND
MS,179.0,WAIT,46.5,None,UPTREND
GM,79.68,WAIT,46.7,None,UPTREND
APTV,76.47,WAIT,47.0,None,UPTREND
FTV,54.59,WAIT,47.0,None,UPTREND
DAL,67.96,WAIT,47.0,None,UPTREND
TKO,204.91,WAIT,47.1,None,UPTREND
LLY,1064.29,WAIT,47.3,None,UPTREND
UNP,229.65,WAIT,47.5,None,UPTREND
DIS,110.98,WAIT,47.8,None,UPTREND
VTR,76.99,WAIT,47.9,None,UPTREND
MCK,820.23,WAIT,48.0,None,UPTREND
NVDA,187.67,WAIT,48.3,None,UPTREND
ABNB,132.15,WAIT,48.3,None,UPTREND
HBAN,17.35,WAIT,48.7,None,UPTREND
MTD,1406.36,WAIT,49.2,None,UPTREND
EXE,109.49,WAIT,49.4,None,UPTREND
RF,27.48,WAIT,49.4,None,UPTREND
SOLV,78.91,WAIT,49.7,None,UPTREND
HCA,470.88,WAIT,50.3,None,UPTREND
IBM,292.44,WAIT,50.5,None,UPTREND
COO,81.29,WAIT,50.7,None,UPTREND
INCY,101.99,WAIT,50.9,None,UPTREND
GS,918.88,WAIT,51.1,None,UPTREND
MMM,162.68,WAIT,51.1,None,UPTREND
AMP,496.6,WAIT,51.2,None,UPTREND
HSIC,77.21,WAIT,51.3,None,UPTREND
HUM,266.5,WAIT,51.7,None,UPTREND
TROW,105.63,WAIT,51.8,None,UPTREND
DLTR,128.92,WAIT,51.8,None,UPTREND
XEL,75.01,WAIT,51.8,None,UPTREND
JBL,243.14,WAIT,51.8,None,UPTREND
FANG,154.02,WAIT,52.1,None,UPTREND
PLTR,169.6,WAIT,52.2,None,UPTREND
ANET,136.34,WAIT,52.6,None,UPTREND
BK,117.61,WAIT,52.8,None,UPTREND
LYV,146.97,PATTERN_TRIGGER,52.8,ENGULFING,UPTREND
AEP,116.63,PATTERN_TRIGGER,52.9,HAMMER,UPTREND
APA,25.8,WAIT,53.5,None,UPTREND
F,13.56,WAIT,53.7,None,UPTREND
HWM,214.89,WAIT,53.7,None,UPTREND
LUV,41.95,WAIT,54.1,None,UPTREND
DHI,150.51,WAIT,54.5,None,UPTREND
TSLA,449.06,WAIT,54.9,None,UPTREND
PNR,107.55,WAIT,55.0,None,UPTREND
YUM,152.97,WAIT,55.1,None,UPTREND
DHR,235.01,WAIT,55.8,None,UPTREND
BMY,54.65,WAIT,55.9,None,UPTREND
PEP,144.58,WAIT,55.9,None,UPTREND
DAY,69.42,WAIT,56.3,None,UPTREND
ES,69.58,WAIT,56.4,None,UPTREND
TRGP,191.5,WAIT,56.7,None,UPTREND
XYL,141.23,WAIT,57.0,None,UPTREND
CCEP,89.85,WAIT,57.0,None,UPTREND
VRTX,468.41,WAIT,57.2,None,UPTREND
PHM,125.16,WAIT,57.4,None,UPTREND
SNPS,501.39,WAIT,57.5,None,UPTREND
OXY,44.1,WAIT,57.5,None,UPTREND
EQT,55.52,WAIT,57.5,None,UPTREND
CTRA,27.42,WAIT,58.0,None,UPTREND
WAT,392.31,WAIT,58.1,None,UPTREND
BLK,1129.91,PATTERN_TRIGGER,58.4,HAMMER,UPTREND
INTC,45.07,WAIT,58.4,None,UPTREND
CTSH,84.18,WAIT,58.9,None,UPTREND
BDX,201.79,WAIT,59.0,None,UPTREND
NXPI,232.48,WAIT,59.1,None,UPTREND
TAP,49.35,WAIT,59.4,None,UPTREND
IDXX,693.85,WAIT,59.4,None,UPTREND
LDOS,191.23,WAIT,59.7,None,UPTREND
